"Electoral.District.Number.Numéro.de.circonscription","Electoral.District.Name.Nom.de.circonscription","Conservative Party of Canada","New Democratic Party","Liberal Party of Canada","People's Party of Canada","Green Party of Canada","Bloc Québécois","Rejected.Ballots.Bulletins.rejetés","Total.Votes.Total.des.votes","Electors.Électeurs"
24063,"Rivière-du-Nord/Rivière-du-Nord",6803,3958,12767,2164,NA,29943,1327,58656,99384
24064,"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie",2199,26708,12738,NA,1308,11751,1062,56050,82719
24065,"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin",6120,4461,22992,1509,NA,16055,946,53073,78967
24066,"Saint-Hyacinthe--Bagot/Saint-Hyacinthe--Bagot",7166,6170,12030,1445,NA,NA,1439,54470,83254
24067,"Saint-Jean/Saint-Jean",7544,4308,16650,NA,1262,27243,1527,60737,92169
24068,"Saint-Laurent/Saint-Laurent",6902,4059,22056,1182,NA,2972,642,37959,66342
24069,"Saint-Léonard--Saint-Michel/Saint-Léonard--Saint-Michel",4381,3460,29010,1568,NA,3395,890,42704,74481
24070,"Saint-Maurice--Champlain/Saint-Maurice--Champlain",10139,2849,23913,NA,731,16940,1379,57716,93769
24071,"Salaberry--Suroît/Salaberry--Suroît",7476,4529,16550,2207,NA,29093,1355,62220,99516
24072,"Shefford/Shefford",7234,3173,19968,2073,1059,24997,1409,61035,93696
24073,"Sherbrooke/Sherbrooke",7490,8107,21830,1453,1670,16848,1355,59540,91422
24074,"Vaudreuil--Soulanges/Vaudreuil--Soulanges",10556,6780,30001,NA,1631,14308,1233,65797,98386
24075,"Terrebonne/Terrebonne",6183,3913,17475,1594,847,24270,1355,60304,91028
24076,"Trois-Rivières/Trois-Rivières",17053,4680,16637,1115,754,17136,1214,59324,92413
24077,"Ville-Marie--Le Sud-Ouest--Île-des-Soeurs/Ville-Marie--Le Sud-Ouest--Île-des-Soeurs",6138,9241,24978,1291,1343,6176,689,50112,88878
24078,"Vimy/Vimy",6829,4731,25316,2175,NA,11811,1149,52011,88413
35001,"Ajax/Ajax",NA,6988,28279,NA,1254,NA,525,50283,92945
35002,"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing",10885,15895,8888,2840,726,NA,291,39814,66921
35003,"Aurora--Oak Ridges--Richmond Hill/Aurora--Oak Ridges--Richmond Hill",19304,3594,20764,1734,NA,NA,509,46405,84133
35004,"Barrie--Innisfil/Barrie--Innisfil",25234,8349,15292,4060,NA,NA,433,53368,90212
35005,"Barrie--Springwater--Oro-Medonte/Barrie--Springwater--Oro-Medonte",23555,8910,16145,3629,NA,NA,480,52719,82821
35006,"Bay of Quinte/Baie de Quinte",25479,9284,22542,3045,1350,NA,405,62105,95773
35007,"Beaches--East York/Beaches--East York",7336,11513,28919,1613,1388,NA,340,51456,79273
35008,"Brampton Centre/Brampton-Centre",11026,5932,16189,NA,NA,NA,488,34459,64042
35009,"Brampton East/Brampton-Est",11647,6511,22120,1073,NA,NA,436,41787,77261
35010,"Brampton North/Brampton-Nord",13289,6448,23412,NA,NA,NA,471,43620,75186
35011,"Brampton South/Brampton-Sud",12596,5894,21120,1820,NA,NA,503,41933,76330
35012,"Brampton West/Brampton-Ouest",13186,6097,25780,1218,NA,NA,390,46999,87154
35013,"Brantford--Brant/Brantford--Brant",26675,12964,18795,5633,1759,NA,393,66515,111520
35014,"Bruce--Grey--Owen Sound/Bruce--Grey--Owen Sound",28727,7939,14738,4697,1789,NA,394,58808,91757
35015,"Burlington/Burlington",25742,7507,31602,2764,1368,NA,424,69529,99765
35016,"Cambridge/Cambridge",18876,9319,20866,3931,1860,NA,335,55187,90298
35017,"Chatham-Kent--Leamington/Chatham-Kent--Leamington",22435,8007,15683,7892,837,NA,400,55254,87011
35018,"Davenport/Davenport",4774,19854,19930,1499,1087,NA,429,47736,78167
35019,"Don Valley East/Don Valley-Est",8766,4618,22356,1585,NA,NA,470,37795,64206
35020,"Don Valley North/Don Valley-Nord",12098,4304,22067,1301,765,NA,355,40890,74038
35021,"Don Valley West/Don Valley-Ouest",NA,3814,24798,881,761,NA,363,47377,71385
35022,"Dufferin--Caledon/Dufferin--Caledon",31490,6866,19867,4389,NA,NA,398,65971,108375
35023,"Durham/Durham",31423,11865,20267,3725,NA,NA,455,68185,111428
35024,"Eglinton--Lawrence/Eglinton--Lawrence",18082,NA,24051,1445,1490,NA,479,50090,81074
35025,"Elgin--Middlesex--London/Elgin--Middlesex--London",31472,10086,12326,7429,1417,NA,338,63396,97732
35026,"Essex/Essex",28741,22278,10813,6925,865,NA,406,70382,105753
35027,"Etobicoke Centre/Etobicoke-Centre",20108,5804,27635,4003,NA,NA,567,58117,90846
35028,"Etobicoke--Lakeshore/Etobicoke--Lakeshore",20457,NA,30355,2857,1363,NA,397,64462,102792
35029,"Etobicoke North/Etobicoke-Nord",8866,3708,21201,1473,NA,NA,494,36058,71958
35030,"Flamborough--Glanbrook/Flamborough--Glanbrook",24370,9409,21350,3686,1254,NA,439,60508,92428
35031,"Glengarry--Prescott--Russell/Glengarry--Prescott--Russell",21979,7022,30362,4458,1350,NA,901,66808,95685
35032,"Guelph/Guelph",16795,14713,29382,3182,5250,NA,434,70205,107980
35033,"Haldimand--Norfolk/Haldimand--Norfolk",29664,8320,17224,6570,NA,NA,425,63017,94259
35034,"Haliburton--Kawartha Lakes--Brock/Haliburton--Kawartha Lakes--Brock",35418,9730,15645,4769,1696,NA,493,68214,103030
35035,"Hamilton Centre/Hamilton-Centre",6209,20105,10941,2637,1105,NA,351,41631,74721
35036,"Hamilton East--Stoney Creek/Hamilton-Est--Stoney Creek",13934,12748,18358,3733,1020,NA,520,50313,84993
35037,"Hamilton Mountain/Hamilton Mountain",11828,15706,16548,3098,974,NA,419,48879,80916
35038,"Hamilton West--Ancaster--Dundas/Hamilton-Ouest--Ancaster--Dundas",18162,12432,27845,2584,1661,NA,387,63208,91137
35039,"Hastings--Lennox and Addington/Hastings--Lennox and Addington",24651,6020,19056,3131,971,NA,296,54963,83537
35040,"Huron--Bruce/Huron--Bruce",31170,9056,16015,4437,NA,NA,357,61554,88286
35041,"Kanata--Carleton/Kanata--Carleton",24373,8822,26394,1858,NA,NA,372,63528,86505
35042,"Kenora/Kenora",11103,7801,5190,1625,364,NA,118,26201,46382
35043,"King--Vaughan/King--Vaughan",22534,3234,21458,2149,620,NA,385,50380,102808
35044,"Kingston and the Islands/Kingston et les Îles",16019,19775,27724,2314,1673,NA,445,67950,101401
35045,"Kitchener Centre/Kitchener-Centre",12537,8938,8297,3381,17872,NA,525,51704,82639
35046,"Kitchener--Conestoga/Kitchener--Conestoga",19448,5948,20025,3690,1842,NA,290,51243,75316
35047,"Kitchener South--Hespeler/Kitchener-Sud--Hespeler",17649,8079,18596,3351,1710,NA,474,50128,81082
35048,"Lambton--Kent--Middlesex/Lambton--Kent--Middlesex",29431,11107,12552,6567,1035,NA,439,61131,91655
35049,"Lanark--Frontenac--Kingston/Lanark--Frontenac--Kingston",30761,9828,16617,3830,1664,NA,435,63346,90814
35050,"Leeds--Grenville--Thousand Islands and Rideau Lakes/Leeds--Grenville--Thousand Islands et Rideau Lakes",29950,8863,14935,3394,2134,NA,380,59656,87508
35051,"London--Fanshawe/London--Fanshawe",12486,22336,11882,4718,NA,NA,511,51933,92165
35052,"London North Centre/London-Centre-Nord",15889,15611,22921,2902,1297,NA,460,59080,98392
35053,"London West/London-Ouest",22273,16858,25308,3409,NA,NA,517,69138,101388
35054,"Markham--Stouffville/Markham--Stouffville",20740,4961,29773,1869,1049,NA,459,58851,96687
35055,"Markham--Thornhill/Markham--Thornhill",10136,3222,23709,648,813,NA,398,38926,70057
35056,"Markham--Unionville/Markham--Unionville",18959,3001,21958,NA,1306,NA,452,45676,87775
35057,"Milton/Milton",18313,4925,28503,2365,1280,NA,325,55711,89152
35058,"Mississauga Centre/Mississauga-Centre",13390,5331,25719,2128,863,NA,462,47893,85779
35059,"Mississauga East--Cooksville/Mississauga-Est--Cooksville",14722,4678,22806,2933,NA,NA,383,45958,82886
35060,"Mississauga--Erin Mills/Mississauga--Erin Mills",17088,5178,25866,1711,829,NA,379,51051,87383
35061,"Mississauga--Lakeshore/Mississauga--Lakeshore",21761,5488,25284,2367,1265,NA,524,56783,89017
35062,"Mississauga--Malton/Mississauga--Malton",12625,5771,21766,NA,811,NA,435,41683,77208
35063,"Mississauga--Streetsville/Mississauga--Streetsville",17131,6186,23698,1851,1048,NA,333,50457,85853
35064,"Nepean/Nepean",22184,10786,29620,1840,1318,NA,419,66167,93728
35065,"Newmarket--Aurora/Newmarket--Aurora",21173,6338,24208,2296,1015,NA,372,55662,91610
35066,"Niagara Centre/Niagara-Centre",18324,14086,20576,4670,1123,NA,437,59216,94206
35067,"Niagara Falls/Niagara Falls",26810,12871,23650,5948,1370,NA,646,71295,115159
35068,"Niagara West/Niagara-Ouest",25206,7064,16815,3933,1602,NA,217,55494,77600
35069,"Nickel Belt/Nickel Belt",13425,13137,17353,4558,848,NA,364,49685,78267
35070,"Nipissing--Timiskaming/Nipissing--Timiskaming",15104,10493,18405,3494,NA,NA,337,47833,76316
35071,"Northumberland--Peterborough South/Northumberland--Peterborough-Sud",31015,9809,23336,3813,1764,NA,459,70196,100654
35072,"Oakville/Oakville",24430,5373,28137,1970,1090,NA,330,61330,89441
35073,"Oakville North--Burlington/Oakville-Nord--Burlington",25091,6574,30910,2429,1019,NA,533,66556,99538
35074,"Oshawa/Oshawa",22409,16079,13044,4029,864,NA,417,56842,100987
35075,"Ottawa Centre/Ottawa-Centre",11650,24552,33825,1605,2115,NA,497,74838,100004
35076,"Orléans/Orléans",21700,10983,39101,2046,1233,NA,658,75941,106582
35077,"Ottawa South/Ottawa-Sud",15497,11514,29038,1898,1401,NA,575,60067,90681
35078,"Ottawa--Vanier/Ottawa--Vanier",11611,13703,28462,1855,1816,NA,576,58607,90703
35079,"Ottawa West--Nepean/Ottawa-Ouest--Nepean",16473,11163,25889,NA,1642,NA,447,57849,84972
35080,"Oxford/Oxford",29146,11325,12720,6595,1683,NA,379,62327,96055
35081,"Parkdale--High Park/Parkdale--High Park",6815,20602,22307,1642,957,NA,297,52840,80569
35082,"Parry Sound--Muskoka/Parry Sound--Muskoka",26600,9339,12014,NA,3099,NA,299,55799,86277
35083,"Perth--Wellington/Perth--Wellington",26984,9552,13684,5357,NA,NA,380,55957,85345
35084,"Peterborough--Kawartha/Peterborough--Kawartha",27402,13302,24664,3073,1553,NA,395,70607,102053
35085,"Pickering--Uxbridge/Pickering--Uxbridge",20976,7592,27271,2328,NA,NA,302,58469,94124
35086,"Renfrew--Nipissing--Pembroke/Renfrew--Nipissing--Pembroke",28967,12263,11335,4469,1111,NA,459,58977,88637
35087,"Richmond Hill/Richmond Hill",17715,3995,21784,1363,NA,NA,543,46205,83198
35088,"Carleton/Carleton",35356,8164,24298,1728,1327,NA,447,71320,95813
35089,"St. Catharines/St. Catharines",19018,12294,22069,3860,1091,NA,377,58709,91010
35090,"Toronto--St. Paul's/Toronto--St. Paul's",13587,9036,26429,1432,3214,NA,580,54278,82891
35091,"Sarnia--Lambton/Sarnia--Lambton",26292,11990,10975,6359,848,NA,346,57245,85439
35092,"Sault Ste. Marie/Sault Ste. Marie",14984,8041,15231,1923,NA,NA,281,40460,66439
35093,"Scarborough--Agincourt/Scarborough--Agincourt",10630,3679,20712,978,631,NA,422,37052,70055
35094,"Scarborough Centre/Scarborough-Centre",9819,5479,23128,1472,NA,NA,425,40586,74304
35095,"Scarborough--Guildwood/Scarborough--Guildwood",7998,NA,22944,1096,NA,NA,548,38098,66314
35096,"Scarborough North/Scarborough-Nord",NA,3514,21178,763,NA,NA,337,32152,63797
35097,"Scarborough--Rouge Park/Scarborough--Rouge Park",9628,6068,28702,1322,NA,NA,350,46070,75469
35098,"Scarborough Southwest/Scarborough-Sud-Ouest",8981,6924,24823,1259,1068,NA,325,43497,76558
35099,"Simcoe--Grey/Simcoe--Grey",36249,10140,21320,5550,2969,NA,436,77046,121333
35100,"Simcoe North/Simcoe-Nord",27383,9958,19332,4822,1903,NA,294,63902,101316
35101,"Spadina--Fort York/Spadina--Fort York",9875,16834,18991,1476,1645,NA,350,49171,91355
35102,"Stormont--Dundas--South Glengarry/Stormont--Dundas--South Glengarry",29255,5804,12443,3921,1230,NA,547,53200,85816
35103,"Sudbury/Sudbury",12747,13569,15871,2735,940,NA,313,46286,75123
35104,"Thornhill/Thornhill",25687,3041,18168,2322,844,NA,390,50452,85690
35105,"Thunder Bay--Rainy River/Thunder Bay--Rainy River",11671,11342,13655,2621,571,NA,308,40168,65669
35106,"Thunder Bay--Superior North/Thunder Bay--Supérieur-Nord",10035,11244,16893,2465,735,NA,311,41794,66311
35107,"Timmins--James Bay/Timmins--Baie James",9393,12132,8508,4537,NA,NA,355,34925,63431
35108,"Toronto Centre/Toronto-Centre",5571,11909,23071,1047,3921,NA,366,46183,81549
35109,"Toronto--Danforth/Toronto--Danforth",6547,17555,25214,1282,1023,NA,335,52477,80166
35110,"University--Rosedale/University--Rosedale",9473,11921,22451,1172,1974,NA,420,47655,78886
35111,"Vaughan--Woodbridge/Vaughan--Woodbridge",19019,3265,21699,2567,453,NA,460,47622,81177
35112,"Waterloo/Waterloo",16528,11360,26926,2802,2038,NA,353,60007,89022
35113,"Wellington--Halton Hills/Wellington--Halton Hills",35257,7050,18384,4359,2606,NA,448,68104,101133
35114,"Whitby/Whitby",22271,8766,27375,2682,972,NA,332,62398,101408
35115,"Willowdale/Willowdale",13916,4231,21043,1102,812,NA,383,41487,76164
35116,"Windsor--Tecumseh/Windsor--Tecumseh",14605,17465,18134,5927,682,NA,500,57477,94935
35117,"Windsor West/Windsor-Ouest",9415,21541,13524,4060,NA,NA,504,49197,92656
35118,"York Centre/York-Centre",13949,3753,17430,1726,NA,NA,507,37365,70012
35119,"York--Simcoe/York--Simcoe",24900,6800,14469,3662,NA,NA,466,50297,93620
35120,"York South--Weston/York-Sud--Weston",7783,6517,21644,1754,872,NA,404,38974,76960
35121,"Humber River--Black Creek/Humber River--Black Creek",5599,5279,19533,1258,388,NA,562,32749,66934
46001,"Brandon--Souris/Brandon--Souris",22733,7838,4608,2981,NA,NA,224,38384,62384
46002,"Charleswood--St. James--Assiniboia--Headingley/Charleswood--St. James--Assiniboia--Headingley",18111,6974,17651,1594,947,NA,296,45573,65769
46003,"Churchill--Keewatinook Aski/Churchill--Keewatinook Aski",4330,7632,4514,899,552,NA,210,18137,50615
46004,"Dauphin--Swan River--Neepawa/Dauphin--Swan River--Neepawa",22718,5678,NA,4052,835,NA,226,38740,63200
46005,"Elmwood--Transcona/Elmwood--Transcona",11768,20791,6169,2435,676,NA,314,42153,70701
46006,"Kildonan--St. Paul/Kildonan--St. Paul",18375,10313,12934,2325,NA,NA,337,44284,67292
46007,"Portage--Lisgar/Portage--Lisgar",23819,6068,4967,9790,NA,NA,341,45697,68991
46008,"Provencher/Provencher",24294,6270,8471,8227,1273,NA,355,50256,75492
46009,"Saint Boniface--Saint Vital/Saint-Boniface--Saint-Vital",12749,9767,19908,1978,676,NA,379,45848,69465
46010,"Selkirk--Interlake--Eastman/Selkirk--Interlake--Eastman",28308,9604,6567,3800,NA,NA,363,49970,76375
46011,"Winnipeg Centre/Winnipeg-Centre",3818,14962,8446,1229,708,NA,365,30114,57993
46012,"Winnipeg North/Winnipeg-Nord",4126,8998,16442,1315,418,NA,287,31695,62808
46013,"Winnipeg South/Winnipeg-Sud",15967,6632,22423,1542,681,NA,346,47591,70250
46014,"Winnipeg South Centre/Winnipeg-Centre-Sud",13566,10064,22214,1352,1341,NA,364,49135,70592
47001,"Battlefords--Lloydminster/Battlefords--Lloydminster",21336,3718,1748,1847,237,NA,182,31230,51150
47002,"Cypress Hills--Grasslands/Cypress Hills--Grasslands",24518,3604,1492,2826,284,NA,145,34422,50254
47003,"Desnethé--Missinippi--Churchill River/Desnethé--Missinippi--Rivière Churchill",10036,3548,5533,1002,215,NA,127,20701,47426
47004,"Carlton Trail--Eagle Creek/Sentier Carlton--Eagle Creek",28192,5608,2066,3791,379,NA,189,41278,59577
47005,"Moose Jaw--Lake Centre--Lanigan/Moose Jaw--Lake Centre--Lanigan",24869,7975,2526,4712,438,NA,206,41390,59868
47006,"Prince Albert/Prince Albert",22340,5214,3653,2388,364,NA,161,34586,58142
47007,"Regina--Lewvan/Regina--Lewvan",21375,15763,6310,1635,560,NA,179,45822,68410
47008,"Regina--Qu'Appelle/Regina--Qu'Appelle",20400,6879,3344,NA,668,NA,254,33213,55938
47009,"Regina--Wascana/Regina--Wascana",19261,6975,10390,1352,622,NA,291,38891,61030
47010,"Saskatoon--Grasswood/Saskatoon--Grasswood",22760,13720,6460,2108,556,NA,303,45907,67231
47011,"Saskatoon--University/Saskatoon--University",20389,15042,4608,1778,405,NA,294,42811,62575
47012,"Saskatoon West/Saskatoon-Ouest",15379,13328,2778,2064,357,NA,284,34190,61520
47013,"Souris--Moose Mountain/Souris--Moose Mountain",30049,3107,1636,3571,NA,NA,285,39625,51918
47014,"Yorkton--Melville/Yorkton--Melville",23794,4239,2187,3227,614,NA,189,34847,53136
48001,"Banff--Airdrie/Banff--Airdrie",43677,12482,9572,5808,1405,NA,396,77384,112509
48002,"Battle River--Crowfoot/Battle River--Crowfoot",41819,5761,2515,5440,554,NA,260,58920,82090
48003,"Bow River/Bow River",35676,4726,3869,5108,NA,NA,300,51438,82243
48004,"Calgary Centre/Calgary-Centre",30375,9694,17593,NA,971,NA,509,59717,95190
48005,"Calgary Confederation/Calgary Confederation",28367,10561,17560,2670,2295,NA,369,62000,91983
48006,"Calgary Forest Lawn/Calgary Forest Lawn",15434,6254,9608,2468,699,NA,442,35090,73174
48007,"Calgary Heritage/Calgary Heritage",30870,9320,8960,2682,766,NA,313,53855,81375
48008,"Calgary Midnapore/Calgary Midnapore",39147,11826,7947,3930,868,NA,355,64885,95798
48009,"Calgary Nose Hill/Calgary Nose Hill",28001,8500,10311,2324,636,NA,321,50714,83037
48010,"Calgary Rocky Ridge/Calgary Rocky Ridge",36034,10748,14693,3003,1052,NA,390,66474,100354
