"Electoral.District.Number.Numéro.de.circonscription","Electoral.District.Name.Nom.de.circonscription","Conservative Party of Canada","New Democratic Party","Liberal Party of Canada","People's Party of Canada","Green Party of Canada","Bloc Québécois","Rejected.Ballots.Bulletins.rejetés","Total.Votes.Total.des.votes","Electors.Électeurs"
59002,"Burnaby North--Seymour/Burnaby-Nord--Seymour",12535,14318,19445,1370,1516,NA,273,49457,79852
59003,"Burnaby South/Burnaby-Sud",9104,16382,12361,1290,1175,NA,291,40899,80092
59004,"Cariboo--Prince George/Cariboo--Prince George",25771,10323,8397,4160,1844,NA,267,50980,85636
59005,"Central Okanagan--Similkameen--Nicola/Central Okanagan--Similkameen--Nicola",30563,13813,13291,4788,1755,NA,466,64676,100229
59006,"Chilliwack--Hope/Chilliwack--Hope",23987,13927,8851,4004,1391,NA,250,52410,85809
59007,"Cloverdale--Langley City/Cloverdale--Langley City",19223,10587,20877,2563,NA,NA,508,53758,88348
59008,"Coquitlam--Port Coquitlam/Coquitlam--Port Coquitlam",16907,14982,21454,2373,NA,NA,402,56118,93787
59009,"Courtenay--Alberni/Courtenay--Alberni",22181,30612,9276,3467,NA,NA,215,69465,106293
59010,"Cowichan--Malahat--Langford/Cowichan--Malahat--Langford",17870,26968,10320,3952,3922,NA,306,63338,99024
59011,"Delta/Delta",17695,9591,22105,1291,1244,NA,300,52605,78282
59012,"Fleetwood--Port Kells/Fleetwood--Port Kells",14553,8960,21350,1284,892,NA,417,47602,81024
59013,"Kamloops--Thompson--Cariboo/Kamloops--Thompson--Cariboo",30281,20431,12717,4033,2576,NA,324,70772,107548
59014,"Kelowna--Lake Country/Kelowna--Lake Country",30409,12204,17767,4688,2074,NA,346,67488,106585
59015,"Kootenay--Columbia/Kootenay--Columbia",28056,23986,5879,4467,2577,NA,317,65282,96079
59016,"Langley--Aldergrove/Langley--Aldergrove",28643,12288,16565,3341,1798,NA,312,62947,97353
59017,"Mission--Matsqui--Fraser Canyon/Mission--Matsqui--Fraser Canyon",18908,8709,10598,3073,1887,NA,302,43477,71078
59018,"Nanaimo--Ladysmith/Nanaimo--Ladysmith",18627,19826,9314,3358,17640,NA,277,69042,108490
59019,"New Westminster--Burnaby/New Westminster--Burnaby",9710,24054,11685,1840,2035,NA,462,49786,87509
59020,"North Okanagan--Shuswap/North Okanagan--Shuswap",33626,13929,13666,7209,3967,NA,372,72769,112329
59021,"North Vancouver/North Vancouver",16671,11750,26756,1545,2598,NA,383,59703,90437
59022,"Pitt Meadows--Maple Ridge/Pitt Meadows--Maple Ridge",19371,16869,13179,2800,NA,NA,278,53111,82786
59023,"Port Moody--Coquitlam/Port Moody--Coquitlam",16605,19367,14231,1766,NA,NA,428,52519,84028
59024,"Prince George--Peace River--Northern Rockies/Prince George--Peace River--Northern Rockies",29882,6647,4236,5138,1661,NA,430,49627,80724
59025,"Richmond Centre/Richmond-Centre",12668,6196,13440,748,1109,NA,340,34501,74710
59026,"Esquimalt--Saanich--Sooke/Esquimalt--Saanich--Sooke",13885,28056,14466,2995,5891,NA,565,66107,103129
59027,"Saanich--Gulf Islands/Saanich--Gulf Islands",14775,11959,12056,NA,24648,NA,374,65896,94293
59028,"Skeena--Bulkley Valley/Skeena--Bulkley Valley",13513,15921,2866,2888,1406,NA,193,37584,68088
59029,"South Okanagan--West Kootenay/Okanagan-Sud--Kootenay-Ouest",23675,27595,8159,4866,2485,NA,434,67214,103310
59030,"South Surrey--White Rock/Surrey-Sud--White Rock",24158,8395,22166,2186,NA,NA,340,57245,88281
59031,"Steveston--Richmond East/Steveston--Richmond-Est",13066,7525,16543,955,860,NA,363,39312,74641
59032,"Surrey Centre/Surrey-Centre",8094,10627,16862,1539,838,NA,510,38896,75657
59033,"Surrey--Newton/Surrey--Newton",5758,9536,19721,967,NA,NA,404,37014,65973
59034,"Vancouver Centre/Vancouver-Centre",11162,15869,20873,1683,2030,NA,422,52039,91864
59035,"Vancouver East/Vancouver-Est",5399,27969,9797,1382,3826,NA,528,50119,91371
59036,"Vancouver Granville/Vancouver Granville",13280,16619,17050,1177,1434,NA,331,49891,82491
59037,"North Island--Powell River/North Island--Powell River",21670,23833,7922,2795,3656,NA,421,60684,93163
59038,"Vancouver Kingsway/Vancouver Kingsway",5456,20994,11022,868,1575,NA,324,40482,75060
59039,"Vancouver Quadra/Vancouver Quadra",13786,9220,20814,963,2922,NA,291,47996,76613
59040,"Vancouver South/Vancouver-Sud",9060,9922,19910,1104,NA,NA,493,40776,74785
59041,"Victoria/Victoria",9152,29301,18194,2065,7472,NA,468,67216,101151
59042,"West Vancouver--Sunshine Coast--Sea to Sky Country/West Vancouver--Sunshine Coast--Sea to Sky Country",19062,16265,21500,2299,4108,NA,279,63738,98717
60001,"Yukon/Yukon",5096,4354,6471,NA,846,NA,142,19548,30482
61001,"Northwest Territories/Territoires du Nord-Ouest",2031,4558,5387,NA,328,NA,155,14250,30519
62001,"Nunavut/Nunavut",1184,3427,2578,NA,NA,NA,78,7267,21499
